name,quantity,interval,location,duration,preference
chore1,1,days,location1,600,medium
chore2,2,days,location2,600,medium
chore3,3,days,location3,600,medium
chore4,4,days,location4,600,medium
chore5,5,days,location5,600,medium
chore6,6,days,location6,600,medium
chore7,7,days,location7,600,medium
chore8,8,days,location8,600,medium
chore9,9,days,location9,600,medium
chore10,10,days,location10,600,medium
chore11,11,days,location11,600,medium
chore12,12,days,location12,600,medium
chore13,13,days,location13,600,medium
chore14,14,days,location14,600,medium
chore15,15,days,location15,600,medium
chore16,16,days,location16,600,medium
chore17,17,days,location17,600,medium
chore18,18,days,location18,600,medium
chore19,19,days,location19,600,medium
chore20,20,days,location20,600,medium
chore21,21,days,location21,600,medium
chore22,22,days,location22,600,medium
chore23,23,days,location23,600,medium
chore24,24,days,location24,600,medium
chore25,25,days,location25,600,medium
chore26,26,days,location26,600,medium
chore27,27,days,location27,600,medium
chore28,28,days,location28,600,medium
chore29,29,days,location29,600,medium
chore30,30,days,location30,600,medium
chore31,31,days,location31,600,medium
chore32,32,days,location32,600,medium
chore33,33,days,location33,600,medium
chore34,34,days,location34,600,medium
chore35,35,days,location35,600,medium
chore36,36,days,location36,600,medium
chore37,37,days,location37,600,medium
chore38,38,days,location38,600,medium
chore39,39,days,location39,600,medium
chore40,40,days,location40,600,medium
chore41,41,days,location41,600,medium
chore42,42,days,location42,600,medium
chore43,43,days,location43,600,medium
chore44,44,days,location44,600,medium
chore45,45,days,location45,600,medium
chore46,46,days,location46,600,medium
chore47,47,days,location47,600,medium
chore48,48,days,location48,600,medium
chore49,49,days,location49,600,medium
chore50,50,days,location50,600,medium
chore51,51,days,location51,600,medium
chore52,52,days,location52,600,medium
chore53,53,days,location53,600,medium
chore54,54,days,location54,600,medium
chore55,55,days,location55,600,medium
chore56,56,days,location56,600,medium
chore57,57,days,location57,600,medium
chore58,58,days,location58,600,medium
chore59,59,days,location59,600,medium
chore60,60,days,location60,600,medium
chore61,61,days,location61,600,medium
chore62,62,days,location62,600,medium
chore63,63,days,location63,600,medium
chore64,64,days,location64,600,medium
chore65,65,days,location65,600,medium
chore66,66,days,location66,600,medium
chore67,67,days,location67,600,medium
chore68,68,days,location68,600,medium
chore69,69,days,location69,600,medium
chore70,70,days,location70,600,medium
chore71,71,days,location71,600,medium
chore72,72,days,location72,600,medium
chore73,73,days,location73,600,medium
chore74,74,days,location74,600,medium
chore75,75,days,location75,600,medium
chore76,76,days,location76,600,medium
chore77,77,days,location77,600,medium
chore78,78,days,location78,600,medium
chore79,79,days,location79,600,medium
chore80,80,days,location80,600,medium
chore81,81,days,location81,600,medium
chore82,82,days,location82,600,medium
chore83,83,days,location83,600,medium
chore84,84,days,location84,600,medium
chore85,85,days,location85,600,medium
chore86,86,days,location86,600,medium
chore87,87,days,location87,600,medium
chore88,88,days,location88,600,medium
chore89,89,days,location89,600,medium
chore90,90,days,location90,600,medium
chore91,91,days,location91,600,medium
chore92,92,days,location92,600,medium
chore93,93,days,location93,600,medium
chore94,94,days,location94,600,medium
chore95,95,days,location95,600,medium
chore96,96,days,location96,600,medium
chore97,97,days,location97,600,medium
chore98,98,days,location98,600,medium
chore99,99,days,location99,600,medium
chore100,100,days,location100,600,medium
